Разметка,id_level1,level1,id_level2,level2,id_level3,leve3,d_level1,d_level2,d_level3
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1526,Мастер садово-паркового и ландшафтного строительства,"Занятия по изучению теоретических и практических аспектов выполнения работ по выращиванию цветочных растений, деревьев и кустарников, благоустройству различных территорий и внутреннему озеленению различных помещений.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1730,Дизайн интерьера,В рамках программы участники ознакомятся с правилами создания интерьера помещений.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1533,Ландшафтный дизайн,"Занятия по изучению правильного планирования и декоративного оформления своего или чужого участка от самого маленького сада до поместий в несколько гектаров. Обучение ландшафтному дизайну поможет создать целостную композицию из цветов и растений, водоемов, построек, дорожек, детских и спортивных площадок и пр.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1530,Хлебобулочные и кондитерские изделия для здорового питания,"Занятия по изучению вопросов включения хлебобулочных и кондитерских изделий в рацион правильного питания, направленные на то, чтобы нормализовать потребление этих продуктов и снизить возможный негативный эффект.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1527,Бармен-бариста,"Занятия по изучению основных принципов работы с профессиональными кофемашинами и кофемолками, формированию навыков приготовления эспрессо, капучино, других напитков на основе кофе, а также по подбору ингредиентов для приготовления полезных напитков для правильного питания.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1528,Основы реставрации мебели,"Занятия по изучению техники восстановления мебели, возвращения ее оптимального состояния доступными способами.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1525,Дизайнер интерьера,"Занятия по изучению основ архитектурной графики и строительного черчения, а также архитектурно-дизайнерского и компьютерного проектирования.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1532,Мир возможностей,Занятия по изучению методов развития познавательных способностей.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1481,Интеллектуальный клуб. Домоводство,1529,Академия кавистов и сомелье,"Занятия по развитию способностей разбираться в вине, чувствовать и описывать вкусовые качества напитка.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1563,Красота и стиль,Занятия по изучению основ макияжа и современных техник укладки волос во время бьюти-дней.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1555,Первая помощь Вводный курс,"Занятия по обучению на тренажерах методам оказания первой помощи в различных ситуациях (искусственное дыхание, непрямой массаж сердца, отработка реанимационных манипуляций, извлечение инородных тел из дыхательных путей).",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1570,Технологии физического развития,Занятия по изучению методики комплексной оценки физического состояния и эффективных способов развития физической подготовленности.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1567,Система здорового образа жизни: планирование и реализация. Базовый курс,"Занятия по изучению основ рационального питания для поддержания здорового образа жизни с учетом полезных и вредных продуктов и по самостоятельному составлению повседневного индивидуального рациона правильного питания и оптимального двигательного режима. К занятиям допускаются участники, прошедшие вводный курс этого направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1556,Первая помощь Базовый курс,"Занятия по изучению основ правильного оказания первой помощи базового уровня: оценка ситуации, в которой оказывается первая помощь, оперативное принятие решения по оказанию первой помощи, своевременное и правильное оказание первой помощи, использование средств, в том числе подручных, для оказания первой помощи. К занятиям допускаются участники, прошедшие вводный курс этого направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1569,Секреты здоровья в серебряном возрасте. Вводный курс,"В рамках программы участники сформируют представления о возрастных изменениях в нервной системе и факторах, влияющих на возникновение заболеваний.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1557,Основы психического здоровья,Занятия по изучению эффективных средств компенсации когнитивных нарушений – комплекса нейропсихологических упражнений (нейробики). Участники смогут проводить продуктивные тренировки для профилактики когнитивных расстройств.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1562,Советы врача,Программа обучения основам поддержания здорового образа жизни и активного долголетия.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1560,Секреты анти-старения,"Занятия по формированию практических знаний о сущности старения, принципах его сдерживания и секретах сохранения молодости.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1558,Основы активного долголетия,Занятия по развитию навыков сохранения и поддержания активности в «серебряном» возрасте.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1559,Оптимистичное здоровье или рациональное долголетие?,"Занятия по изучению здорового питания, приготовления здоровой пищи (рецепты на все случаи жизни), по самостоятельному выращиванию полезных фруктов и овощей.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1565,Секреты здоровья в серебряном возрасте. Базовый курс,"Занятия по развитию навыков самодиагностики здоровья, психоэмоционального состояния, навыков использования гигиенических средств и форм оздоровительной гимнастики, применяемых с целью профилактики заболеваний нервной системы и органов чувств с учетом возраста и индивидуальных особенностей. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1564,"Эмоции, стресс и здоровье","Занятия по изучению основ сохранения и укрепления психического здоровья, контроля своего поведения в стрессовых ситуациях.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1566,Секреты здоровья в серебряном возрасте. Продвинутый курс,"Занятия по изучению методов самодиагностики здоровья и психоэмоционального состояния, навыков использования гигиенических средств и форм оздоровительной гимнастики, применяемых с целью профилактики заболеваний нервной системы и органов чувств с учетом возраста и индивидуальных особенностей. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1561,Красивое долголетие,Программа обучения особенностям ухода за кожей в серебряном возрасте.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1571,Лекарственные растения,Занятия по изучению свойств лекарственных растений для эффективной помощи в восстановлении здоровья.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1568,Система здорового образа жизни: планирование и реализация. Продвинутый курс,"Занятия по изучению достоинств и недостатков применения современных технологий анализа состояния организма для поддержания здорового образа жизни. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1483,Интеллектуальный клуб. Здоровье/красота/стиль,1729,Система здорового образа жизни: планирование и реализация. Вводный курс,В рамках программы участники получат знания о рациональном питании для поддержания здорового образа жизни с учетом «полезных» и «вредных» продуктов в дневном рационе питания.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1587,Английский язык. Продвинутый курс,"Занятия по изучению разговорных основ английского языка с помощью составления и ведения диалогов, чтения литературы и просмотра фильмов.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1592,Китайский язык для общения и путешествий. Базовый курс,"Занятия по развитию навыков говорения, письма, аудирования и чтения на уровне А1.1 по общеевропейской шкале владения китайским языком. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1584,Английский язык,"Занятия по изучению современного состояния английского языка, а также приемов разговорной речи, способствующих снятию психологических «зажимов» при общении на английском языке.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1581,Итальянский язык,"Занятия по изучению современного состояния итальянского языка, а также приемов разговорной речи, способствующих снятию психологических «зажимов» при общении на итальянском языке.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1574,Испанский язык для общения и путешествий. Продвинутый курс,"Занятия по развитию навыков устного общения и чтения письменных текстов на испанском языке. В результате освоения программы участники смогут поддерживать беседу в стандартных ситуациях, возникающих во время зарубежной туристической поездки, соблюдая нормы речевого этикета. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1589,Английский язык для общения и путешествий. Продвинутый курс,"Занятия по развитию навыков устного общения и чтения письменных текстов на английском языке. В результате освоения программы участники смогут поддерживать беседу в стандартных ситуациях, возникающих во время зарубежной туристической поездки, соблюдая нормы речевого этикета. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1572,Испанский язык,"Занятия по изучению испанского языка: участники определят уровень владения испанским языком и узнают о современном состоянии изучаемого языка, познакомятся с приемами разговорной речи, способствующими снятию психологических «зажимов» при общении на испанском языке.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1577,Немецкий язык для общения и путешествий. Продвинутый курс,"Занятия по развитию навыков устного общения и чтения письменных текстов на немецком языке. В результате освоения программы участники смогут поддерживать беседу в стандартных ситуациях, возникающих во время зарубежной туристической поездки, соблюдая нормы речевого этикета. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1576,Немецкий язык для общения и путешествий. Базовый курс,"Занятия по развитию навыков говорения, письма, аудирования и чтения на уровне А1.1 по общеевропейской шкале владения немецким языком. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1583,Итальянский язык для общения и путешествий. Продвинутый курс,"Занятия по развитию навыков устного общения и чтения письменных текстов на итальянском языке. В результате освоения программы участники смогут поддерживать беседу в стандартных ситуациях, возникающих во время зарубежной туристической поездки, соблюдая нормы речевого этикета. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1575,Немецкий язык,"Занятия по изучению современного состояния немецкого языка, а также приемов разговорной речи, способствующих снятию психологических «зажимов» при общении на немецком языке.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1595,Чарующий французский. Продвинутый курс,"Занятия по получению базовых знаний французского языка, направленные на повышение уровня языковой культуры и навыков общения. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1590,Английский для гида по Москве,Занятия по изучению основ ведения экскурсионных программ по исторической части Москвы для англоговорящих туристических групп. Для зачисления в группу необходимо пройти входное тестирование на определение уровня владения языком.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1573,Испанский язык для общения и путешествий. Базовый курс,"Занятия по развитию навыков говорения, письма, аудирования и чтения на уровне А1.1 по общеевропейской шкале владения испанским языком. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1591,Китайский язык,"Занятия по изучению китайского языка: участники определят уровень владения китайским языком и узнают о современном состоянии изучаемого языка, познакомятся с приемами разговорной речи, способствующими снятию психологических «зажимов» при общении на китайском языке.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1588,Английский язык для общения и путешествий. Базовый курс,"Занятия по развитию навыков говорения, письма, аудирования и чтения на уровне А1.1 по общеевропейской шкале владения английским языком. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1579,Французский язык для общения и путешествий. Базовый курс,"Занятия по развитию навыков говорения, письма, аудирования и чтения на уровне А1.1 по общеевропейской шкале владения французским языком. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1580,Французский язык для общения и путешествий. Продвинутый курс,"Занятия по развитию навыков устного общения и чтения письменных текстов на французском языке. В результате освоения программы участники смогут поддерживать беседу в стандартных ситуациях, возникающих во время зарубежной туристической поездки, соблюдая нормы речевого этикета. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1582,Итальянский язык для общения и путешествий. Базовый курс,"Занятия по развитию навыков говорения, письма, аудирования и чтения на уровне А1.1 по общеевропейской шкале владения итальянским языком. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1594,Секреты немецкой грамматики. Продвинутый курс,"Занятия по повышению уровня говорения, письма, аудирования, понимания текста с учетом 
использования сложных случаев грамматики немецкого языка. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1585,Английский язык. Вводный курс,"Занятия по изучению основ английского языка: алфавит, звуки, цифры, техника построения предложений и т.д.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1586,Английский язык. Базовый курс,Занятия по изучению лексики и грамматики английского языка с помощью чтения и аудирования.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1593,Китайский язык для общения и путешествий. Продвинутый курс,"Занятия по развитию навыков устного общения и чтения письменных текстов на китайском языке. В результате освоения программы участники смогут поддерживать беседу в стандартных ситуациях, возникающих во время зарубежной туристической поездки, соблюдая нормы речевого этикета. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1484,Интеллектуальный клуб. Иностранные языки,1578,Французский язык,"Занятия по изучению французского языка: участники определят уровень владения французским языком и узнают о современном состоянии изучаемого языка, познакомятся с приемами разговорной речи, способствующими снятию психологических «зажимов» при общении на французском языке.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1599,Информационное пространство жизни. Продвинуты курс,"В рамках программы участники приобретут опыт работы на основных информационных порталах и сервисах города Москвы (ЕМИАС, ГОСУСЛУГИ, Активный гражданин, gorod.mos.ru), научатся уточнять расписание, составлять индивидуальные маршруты движения и отслеживать транспортный график Москвы и Московской области в реальном времени; узнают о безопасных способах покупок в интернет-магазинах и агрегатах; уточнят представления о типологии и коммуникации в социальных сетях и Интернет-сообществах, о работе с облачными хранилищами. (К занятиям допускаются участники прошедшие Базовый курс данного направления)",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1608,"Современные средства и инструменты удаленного общения на смартфоне, планшете ОС Андроид. Продвинутый курс","Занятия по расширению знаний о возможностях мобильного устройства для обмена текстовыми и голосовыми сообщениями, а также для видеозвонков и по формированию навыков выбора подходящих приложений по отзывам и рейтингам, установления и настраивания антивирусного программного обеспечения и приложения для «тонкой» настройки смартфона или планшета. К занятиям допускаются участники, прошедшие вводный и базовый курсы данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1615,Работа с офисными приложениями. Вводный курс,Занятия по изучению основ офисного пакета программ и их инструментов.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1596,Все о смартфонах. Чему и как учиться? (ОС Android/IOS),Занятия по развитию навыков и принципов работы на мобильном устройстве и по изучению возможностей смартфонов.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1598,Информационное пространство жизни. Вводный курс,Занятия по изучению основ построения информационного пространства жизни современного человека.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1613,Бояться нельзя или Смартфон для повседневной жизни,Занятия по изучению и освоению базовых пользовательских навыков для включения смартфона в решение повседневных задач. Дополнительные требования: наличие базовых навыков работы на компьютере. Предполагается входное тестирование.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1602,Основы видеомонтажа: от идеи до результата. Вводный курс,"Занятия по изучению основ процесса и этапов монтажа, а также по формированию базовых знаний по работе с интерфейсом видеоредакторов.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1606,Смартфон на каждый день (смартфон ОС IOS),"Занятия по изучению операционной системы iOS на смартфонах: общая логика интерфейса, основные возможности, удобные функции и полезные советы.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1620,Школа блогеров,Занятия по развитию навыков создания собственных проектов в команде и индивидуально.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1603,Основы компьютерной графики: обработка фотографий в графических редакторах. Базовый курс,"Занятия по формированию навыков работы со слоями, фильтрами и эффектами, а также по изучению инструментов фотокоррекции и цифровой обработки изображений. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1604,Основы компьютерной графики: обработка фотографий в графических редакторах. Вводный курс,"Занятия по изучению основ рабочего пространства графического дизайнера, освоению типового набора инструментов графического редактора, а также базового интерфейса программ по обработке изображений.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1619,Мультимедиа и технологии. Вводный курс,Занятия по изучению процессов и этапов создания фото- и видеоматериалов.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1600,Информационные технологии для москвичей,"Занятия по программе «Информационный город» и обзор ИТ-возможностей, которые она открывает москвичам. Участники получат ответы на вопросы, какие сервисы есть в Москве, как правильно сформулировать информационный запрос, где можно научиться слепому методу набора текста. Дополнительный блок — доступные мобильные технологии и сервисы.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1726,Смартфон на каждый день (Смартфон ОС Андроид). Базовый курс,В рамках программы участники ознакомятся с типологией операционных систем для мобильных устройств и особенностей ОС Андроид.,,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1617,Основы создания сайтов. Базовый курс,"В рамках программы участники будут уверенно ориентироваться в современной типологии интернет-ресурсов и в структурных компонентах, необходимых для реализации проектов разного уровня, и смогут свободно использовать необходимый технический инструментарий для создания сайта и публикации его в Сети (домен и хостинг). Обязательное условие зачисления на программу – прохождение вводного курса «Онлайн-сервисы и пространство в сети Интернет».",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1597,Информационное пространство жизни. Базовый курс,"Занятия по развитию навыков работы в информационных порталах и сервисах города Москвы («ЕМИАС.ИНФО», «Госуслуги Москвы», «Активный гражданин», gorod.mos.ru и других): уточнение расписания общественного транспорта, составление индивидуальных маршрутов движения, отслеживание транспортного графика Москвы и Московской области в реальном времени, безопасные способы покупок в интернет-магазинах и на сайтах-агрегаторах, типологии и коммуникации в социальных сетях и интернет-сообществах, работа с облачными хранилищами. К занятиям допускаются участники, прошедшие вводный курс данного направления.",,
Для ума,1476,Спецпроект / Интеллектуальный клуб,1485,Интеллектуальный клуб. Информационные технологии,1605,Смартфон ОС Андроид. Вводный курс,"Занятия по изучению типологии операционных систем для мобильных устройств и особенностей ОС Android, программ и настроек, а также настройки устройства для подключения к сети Wi-Fi для регистрации электронного почтового адреса и использования Google Play Market.",,
